leaf_path	block_idx	source	code	level_or_bucket	label	action	confidence	rationale
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	3	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	1	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	4	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	4	lint	SC2242	error	MIXED	ADD_SUPPRESSION	MEDIUM	out-of-range exit code is pedagogical (truncation demo)
02_Bash-as-a-Program/05_Startup-file-chains.md	2	lint	SC1090	warning	NEUTRAL	ADD_SUPPRESSION	HIGH	non-constant source — standard suppression idiom
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	lint	SC1073	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	lint	SC1055	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	lint	SC1072	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	2	lint	SC1010	warning	NEUTRAL	ADD_SUPPRESSION	LOW	parser confusion on `;` / `}` placement — corpus convention
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	2	lint	SC1010	warning	NEUTRAL	ADD_SUPPRESSION	LOW	parser confusion on `;` / `}` placement — corpus convention
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	1	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	2	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	3	lint	SC2154	warning	MIXED	ADD_SUPPRESSION	MEDIUM	fragment references context var defined in prose
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	3	lint	SC2154	warning	MIXED	ADD_SUPPRESSION	MEDIUM	fragment references context var defined in prose
03_Lexical-Structure-and-Shell-Grammar/05_Single-quotes.md	2	lint	SC2154	warning	MIXED	ADD_SUPPRESSION	MEDIUM	fragment references context var defined in prose
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	1	lint	SC2066	error	NEUTRAL	ADD_SUPPRESSION	LOW	for-loop split style is the demo
03_Lexical-Structure-and-Shell-Grammar/09_Backslash-escapes.md	2	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	lint	SC1073	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	lint	SC1055	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	lint	SC1072	error	NEUTRAL	ADD_SUPPRESSION	LOW	shellcheck parser confusion — typically intentional grammar sample
04_Parameters-Variables-and-Arrays/01_Parameter-taxonomy.md	2	lint	SC1128	error	NEUTRAL	ADD_SUPPRESSION	HIGH	corpus convention places `# scenario:` above shebang
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	1	lint	SC1128	error	WRONG	EXPECTED_VIOLATION	HIGH	block labelled WRONG (anti-pattern demo)
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	3	lint	SC1128	error	NEUTRAL	ADD_SUPPRESSION	HIGH	corpus convention places `# scenario:` above shebang
04_Parameters-Variables-and-Arrays/03_Special-parameters.md	1	lint	SC1128	error	NEUTRAL	ADD_SUPPRESSION	HIGH	corpus convention places `# scenario:` above shebang
04_Parameters-Variables-and-Arrays/04_Shell-variables.md	2	lint	SC2050	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	literal pattern compare is the demo (glob / case semantics)
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	3	lint	SC2034	warning	RIGHT	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	3	lint	SC2034	warning	RIGHT	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	lint	SC2034	warning	MIXED	ADD_SUPPRESSION	MEDIUM	declared to demonstrate, not consumed
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	lint	SC1128	error	NEUTRAL	ADD_SUPPRESSION	HIGH	corpus convention places `# scenario:` above shebang
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	lint	SC2034	warning	NEUTRAL	ADD_SUPPRESSION	MEDIUM	likely declared for demonstration
