leaf_path	block_idx	fence_lang	line_start	line_end	n_lines	label_class	runnability	has_output_annot	sha1
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	1	bash	20	24	3	NEUTRAL	RUNNABLE	1	7427e8104fa840f1af8e4082654ded21886000a0
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	2	bash	30	36	5	NEUTRAL	RUNNABLE	1	8703f447f67492b62a67d45e54a7384bda017305
01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	3	bash	42	49	6	NEUTRAL	RUNNABLE	1	c2cb6fa7b7927634ec71c66a1f3436c365c2568a
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	1	NONE	8	19	10	NEUTRAL	FRAGMENT	0	57a9d2eab581f6076f84025570712459b5ee6c77
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	2	bash	29	35	5	NEUTRAL	RUNNABLE	1	70201a53a4ae4e69915ae8c5bace7d9a2b5670b4
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	3	bash	41	48	6	NEUTRAL	RUNNABLE	1	a7e20cf3ee8433b9681252690d34a5c70b77059f
01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	4	bash	58	68	9	MIXED	RUNNABLE	0	188e14c503429883ed00b5a3886ff1ded95d8074
01_The-Unix-Model-from-Bash/03_Files-directories-and-special-files.md	1	bash	28	43	14	NEUTRAL	RUNNABLE	1	bfddded2736d5f8849381fae477223541634cd2f
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	1	bash	14	21	6	NEUTRAL	RUNNABLE	0	841426ba7e1e377b675a0b399a71747bdae6a2e4
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	2	bash	25	32	6	MIXED	RUNNABLE	0	d7c2f4e6eb4b00ba3a1e95145cda69350534eae4
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	3	bash	36	40	3	NEUTRAL	NEEDS_INPUT	1	408a61ac062a4cd68ac8a946676306928cbabf1d
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	1	bash	10	17	6	NEUTRAL	RUNNABLE	1	87fc0d0f8eb69f393261e1b5a603be44c7fdf911
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	2	NONE	23	35	11	NEUTRAL	FRAGMENT	0	e2dceb64100df87c18822d63fc73d85430ac2745
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	3	bash	41	49	7	NEUTRAL	RUNNABLE	1	73c0edb943d4432b9af0478ca0a12f8f2ecbf241
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	4	bash	66	73	6	MIXED	RUNNABLE	0	ef794b39088ef7baae73b8aff3b9c83124bc3d51
01_The-Unix-Model-from-Bash/06_Users-groups-permissions.md	1	bash	29	38	8	NEUTRAL	DESTRUCTIVE	1	ce259391d2eac3425735bbac727f62c4b68aa32b
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	1	bash	34	40	5	NEUTRAL	RUNNABLE	1	02d423fdb147c64a29b4992b77dcb541c4df1ad3
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	2	bash	46	55	8	NEUTRAL	DESTRUCTIVE	1	f6696acc10c47e6092b53f39a2a302388b472262
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	3	bash	61	66	4	NEUTRAL	RUNNABLE	1	cb3428785abe63f77ce64ca138416bc9dcaccce7
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	4	bash	70	76	5	MIXED	RUNNABLE	0	7f82f6195aa3138c9df764ae9043006e4fa99bbe
01_The-Unix-Model-from-Bash/08_Signals-overview.md	1	bash	31	39	7	NEUTRAL	DESTRUCTIVE	1	bad43d46197269e785312a87ef0682a2b91d7712
01_The-Unix-Model-from-Bash/09_The-controlling-terminal-and-TTY-layer.md	1	NONE	21	32	10	NEUTRAL	FRAGMENT	0	adb459102d06ec1a6aed6b9d5b1e8f809249af88
01_The-Unix-Model-from-Bash/09_The-controlling-terminal-and-TTY-layer.md	2	bash	40	47	6	NEUTRAL	INTERACTIVE	1	cee9a1b37dc42bfae49c99e326b36741a18bbce7
01_The-Unix-Model-from-Bash/09_The-controlling-terminal-and-TTY-layer.md	3	bash	55	60	4	NEUTRAL	RUNNABLE	0	d39db03da82e5150df7ca8cfcebecc40de2b942e
02_Bash-as-a-Program/02_Bash-version-landscape.md	1	bash	19	33	13	NEUTRAL	RUNNABLE	1	055818de3136e3010f22bc4b102c4af7ae20ab7b
02_Bash-as-a-Program/03_Build-configuration-and-feature-detection.md	1	bash	17	29	11	NEUTRAL	RUNNABLE	0	05286a7cec5457fc5898771bcf329c469a53ac2f
02_Bash-as-a-Program/03_Build-configuration-and-feature-detection.md	2	bash	31	43	11	NEUTRAL	RUNNABLE	1	fc7ed736e95bb707ed467f06a2a28087895be8bc
02_Bash-as-a-Program/04_Invocation-modes.md	1	bash	19	29	9	NEUTRAL	NETWORK	0	377ff5971c3954b76df5b8fb571a440e901524fa
02_Bash-as-a-Program/04_Invocation-modes.md	2	bash	35	46	10	MIXED	RUNNABLE	1	98401e1a0a7d61fd5111dd1bd1cddc519cdcfee2
02_Bash-as-a-Program/04_Invocation-modes.md	3	bash	52	56	3	NEUTRAL	RUNNABLE	1	bc2e333e863732d2138b2e9b1b3bb9f82f1469a6
02_Bash-as-a-Program/05_Startup-file-chains.md	1	NONE	8	33	24	NEUTRAL	FRAGMENT	0	4f371285e8cc45799d9ba965baf909db9a5ef59e
02_Bash-as-a-Program/05_Startup-file-chains.md	2	bash	43	50	6	NEUTRAL	RUNNABLE	0	88274f57cf0ba156f3b814bdc54219afa0f3ad21
02_Bash-as-a-Program/05_Startup-file-chains.md	3	bash	58	67	8	NEUTRAL	RUNNABLE	0	e1c5a962c1a7c2ed86c587ea19ae273a4fd2b1b6
02_Bash-as-a-Program/05_Startup-file-chains.md	4	bash	73	84	10	MIXED	NETWORK	0	a10ac2b12ab0f3a92b8e63bd0104419941152362
02_Bash-as-a-Program/06_BASH_ENV-and-ENV.md	1	bash	13	21	7	NEUTRAL	RUNNABLE	1	d205d7f63dd3b8d09704c98829dc74332e62ae11
02_Bash-as-a-Program/06_BASH_ENV-and-ENV.md	2	bash	25	29	3	WRONG	ANTIPATTERN	0	2df96fe1e90d1de53994f991c7514afe1860038a
02_Bash-as-a-Program/07_Command-line-options-to-bash-itself.md	1	bash	29	39	9	NEUTRAL	RUNNABLE	1	cf4234305c466a7fc83e83dd5bb6d9a646d00f46
02_Bash-as-a-Program/07_Command-line-options-to-bash-itself.md	2	bash	41	48	6	WRONG	ANTIPATTERN	1	a8756cd268351c1192966a8e2b69935ecc2553bc
02_Bash-as-a-Program/08_Exit-and-shell-session-lifecycle.md	1	bash	30	41	10	NEUTRAL	RUNNABLE	1	87c547122ed67a28121174876ab8aad8fae970a3
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	bash	45	49	3	NEUTRAL	RUNNABLE	0	fd82b6863f2471c96ce4f2c3c51c9cc0823e1e1e
