leaf_path	block_idx	runnability	label	sc_code	level	block_line	leaf_line	expected_violation	message
01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	3	NEEDS_INPUT	NEUTRAL	SC2034	warning	3	40	0	hostname appears unused. Verify use (or export if used externally).
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	1	RUNNABLE	NEUTRAL	SC2034	warning	2	12	0	SHELL_ONLY appears unused. Verify use (or export if used externally).
01_The-Unix-Model-from-Bash/05_The-shell-environment.md	4	RUNNABLE	MIXED	SC2034	warning	2	68	0	DEBUG appears unused. Verify use (or export if used externally).
01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	4	RUNNABLE	MIXED	SC2242	error	2	72	0	Can only exit with status 0-255. Other data should be written to stdout/stderr.
02_Bash-as-a-Program/05_Startup-file-chains.md	2	RUNNABLE	NEUTRAL	SC1090	warning	3	46	0	ShellCheck can't follow non-constant source. Use a directive to specify location.
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	RUNNABLE	NEUTRAL	SC1073	error	0	45	0	Couldn't parse this brace group. Fix to allow more checks.
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	RUNNABLE	NEUTRAL	SC1055	error	4	49	0	You need at least one command here. Use 'true;' as a no-op.
03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	1	RUNNABLE	NEUTRAL	SC1072	error	4	49	0	Unexpected keyword/token. Fix any mentioned problems and try again.
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	2	RUNNABLE	NEUTRAL	SC1010	warning	4	25	0	Use semicolon or linefeed before 'then' (or quote to make it literal).
03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	2	RUNNABLE	NEUTRAL	SC1010	warning	4	25	0	Use semicolon or linefeed before 'fi' (or quote to make it literal).
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	1	RUNNABLE	NEUTRAL	SC2034	warning	6	28	0	result appears unused. Verify use (or export if used externally).
03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	2	RUNNABLE	MIXED	SC2034	warning	5	40	0	count appears unused. Verify use (or export if used externally).
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	3	RUNNABLE	MIXED	SC2154	warning	2	77	0	src is referenced but not assigned.
03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	3	RUNNABLE	MIXED	SC2154	warning	2	77	0	dst is referenced but not assigned.
03_Lexical-Structure-and-Shell-Grammar/05_Single-quotes.md	2	RUNNABLE	MIXED	SC2154	warning	6	40	0	target is referenced but not assigned.
03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	1	RUNNABLE	NEUTRAL	SC2066	error	12	55	0	Since you double quoted this, it will not word split, and the loop will only run once.
03_Lexical-Structure-and-Shell-Grammar/09_Backslash-escapes.md	2	RUNNABLE	NEUTRAL	SC2034	warning	2	44	0	msg appears unused. Verify use (or export if used externally).
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	RUNNABLE	NEUTRAL	SC1073	error	0	50	0	Couldn't parse this brace group. Fix to allow more checks.
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	RUNNABLE	NEUTRAL	SC1055	error	2	52	0	You need at least one command here. Use 'true;' as a no-op.
03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	2	RUNNABLE	NEUTRAL	SC1072	error	2	52	0	Unexpected keyword/token. Fix any mentioned problems and try again.
04_Parameters-Variables-and-Arrays/01_Parameter-taxonomy.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	31	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	1	ANTIPATTERN	WRONG	SC1128	error	2	43	1	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	3	RUNNABLE	NEUTRAL	SC1128	error	2	109	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/03_Special-parameters.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	25	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/04_Shell-variables.md	2	RUNNABLE	NEUTRAL	SC2050	warning	6	74	0	This expression is constant. Did you forget the $ on a variable?
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	3	RUNNABLE	RIGHT	SC2034	warning	2	68	0	VALID_TIERS appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	3	RUNNABLE	RIGHT	SC2034	warning	7	73	0	out appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	4	RUNNABLE	NEUTRAL	SC2034	warning	3	106	0	CACHE_HITS appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	4	RUNNABLE	NEUTRAL	SC2034	warning	6	109	0	CACHE appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	RUNNABLE	MIXED	SC2034	warning	3	15	0	name appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	RUNNABLE	MIXED	SC2034	warning	4	16	0	count appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	RUNNABLE	MIXED	SC2034	warning	5	17	0	items appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	RUNNABLE	MIXED	SC2034	warning	10	22	0	file appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	2	118	0	file appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	3	119	0	count appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	4	120	0	errors appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	5	121	0	by_key appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	6	122	0	tiers appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	SC2034	warning	7	123	0	out appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	31	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	RUNNABLE	NEUTRAL	SC2034	warning	6	35	0	VERSION appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	RUNNABLE	NEUTRAL	SC2034	warning	11	40	0	PREFIX appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	RUNNABLE	NEUTRAL	SC2034	warning	14	43	0	SCRIPT_NAME appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	60	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	2	14	0	a appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	3	15	0	b appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	5	17	0	d appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	8	20	0	e appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	4	15	0	by_id appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	5	16	0	counts appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	1	RUNNABLE	NEUTRAL	SC2034	warning	6	17	0	STATIC appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	2	RUNNABLE	NEUTRAL	SC2154	warning	2	28	0	alice is referenced but not assigned.
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	3	RUNNABLE	RIGHT	SC2034	warning	4	45	0	m appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	7	RUNNABLE	NEUTRAL	SC2154	warning	3	136	0	src is referenced but not assigned.
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	7	RUNNABLE	NEUTRAL	SC2034	warning	3	136	0	copy appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	3	RUNNABLE	NEUTRAL	SC2125	warning	10	72	0	Brace expansions and globs are literal in assignments. Quote it or use an array.
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	3	RUNNABLE	NEUTRAL	SC2034	warning	11	73	0	cell appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	4	RUNNABLE	NEUTRAL	SC2034	warning	2	90	0	b appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	5	RUNNABLE	MIXED	SC2034	warning	8	110	0	out appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	2	RUNNABLE	NEUTRAL	SC2206	warning	12	72	0	Quote to prevent word splitting/globbing, or split robustly with mapfile or read -a.
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	2	RUNNABLE	NEUTRAL	SC2206	warning	24	84	0	Quote to prevent word splitting/globbing, or split robustly with mapfile or read -a.
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	4	RUNNABLE	NEUTRAL	SC2034	warning	2	131	0	a appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	4	RUNNABLE	NEUTRAL	SC2034	warning	2	131	0	b appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	5	RUNNABLE	NEUTRAL	SC2034	warning	4	148	0	x appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	6	RUNNABLE	NEUTRAL	SC2034	warning	2	159	0	x appears unused. Verify use (or export if used externally).
04_Parameters-Variables-and-Arrays/14_Unsetting.md	1	RUNNABLE	MIXED	SC1128	error	2	36	0	The shebang must be on the first line. Delete blanks and move comments.
04_Parameters-Variables-and-Arrays/14_Unsetting.md	2	ANTIPATTERN	WRONG	SC1128	error	2	65	1	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/02_Brace-expansion.md	1	ANTIPATTERN	WRONG	SC1083	warning	10	33	1	This { is literal. Check expression (missing ;/\\n?) or quote it.
05_Expansions/02_Brace-expansion.md	1	ANTIPATTERN	WRONG	SC1083	warning	10	33	1	This } is literal. Check expression (missing ;/\\n?) or quote it.
05_Expansions/02_Brace-expansion.md	1	ANTIPATTERN	WRONG	SC1083	warning	15	38	1	This { is literal. Check expression (missing ;/\\n?) or quote it.
05_Expansions/02_Brace-expansion.md	1	ANTIPATTERN	WRONG	SC1083	warning	15	38	1	This } is literal. Check expression (missing ;/\\n?) or quote it.
05_Expansions/02_Brace-expansion.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	53	0	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/02_Brace-expansion.md	2	RUNNABLE	NEUTRAL	SC2154	warning	7	58	0	f is referenced but not assigned.
05_Expansions/02_Brace-expansion.md	2	RUNNABLE	NEUTRAL	SC2154	warning	13	64	0	conf is referenced but not assigned.
05_Expansions/03_Tilde-expansion.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	26	0	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/03_Tilde-expansion.md	1	RUNNABLE	NEUTRAL	SC2088	warning	10	34	0	Tilde does not expand in quotes. Use $HOME.
05_Expansions/03_Tilde-expansion.md	1	RUNNABLE	NEUTRAL	SC2088	warning	11	35	0	Tilde does not expand in quotes. Use $HOME.
05_Expansions/03_Tilde-expansion.md	1	RUNNABLE	NEUTRAL	SC2088	warning	23	47	0	Tilde does not expand in quotes. Use $HOME.
05_Expansions/04_Parameter-and-variable-expansion.md	7	RUNNABLE	NEUTRAL	SC2034	warning	6	150	0	BCS_MODEL appears unused. Verify use (or export if used externally).
05_Expansions/04_Parameter-and-variable-expansion.md	7	RUNNABLE	NEUTRAL	SC2034	warning	6	150	0	BCS_EFFORT appears unused. Verify use (or export if used externally).
05_Expansions/04_Parameter-and-variable-expansion.md	7	RUNNABLE	NEUTRAL	SC2034	warning	6	150	0	BCS_VERBOSE appears unused. Verify use (or export if used externally).
05_Expansions/05_Arithmetic-expansion.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	48	0	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/05_Arithmetic-expansion.md	2	RUNNABLE	NEUTRAL	SC2154	warning	7	53	0	undef is referenced but not assigned.
05_Expansions/05_Arithmetic-expansion.md	2	RUNNABLE	NEUTRAL	SC2034	warning	13	59	0	n appears unused. Verify use (or export if used externally).
05_Expansions/05_Arithmetic-expansion.md	3	RUNNABLE	NEUTRAL	SC2080	error	3	91	0	Numbers with leading 0 are considered octal.
05_Expansions/06_Command-substitution.md	1	NEEDS_INPUT	NEUTRAL	SC2034	warning	7	26	0	count appears unused. Verify use (or export if used externally).
05_Expansions/06_Command-substitution.md	1	NEEDS_INPUT	NEUTRAL	SC2034	warning	11	30	0	parent appears unused. Verify use (or export if used externally).
05_Expansions/06_Command-substitution.md	4	RUNNABLE	NEUTRAL	SC1010	warning	4	89	0	Use semicolon or linefeed before 'done' (or quote to make it literal).
05_Expansions/06_Command-substitution.md	4	RUNNABLE	NEUTRAL	SC1010	warning	10	95	0	Use semicolon or linefeed before 'done' (or quote to make it literal).
05_Expansions/06_Command-substitution.md	5	RUNNABLE	NEUTRAL	SC2034	warning	10	118	0	lines appears unused. Verify use (or export if used externally).
05_Expansions/07_Process-substitution.md	3	NEEDS_INPUT	NEUTRAL	SC2034	warning	10	74	0	fd appears unused. Verify use (or export if used externally).
05_Expansions/07_Process-substitution.md	4	NEEDS_INPUT	NEUTRAL	SC2034	warning	3	93	0	line appears unused. Verify use (or export if used externally).
05_Expansions/08_Word-splitting-and-IFS.md	5	NEEDS_INPUT	NEUTRAL	SC2034	warning	3	140	0	procs appears unused. Verify use (or export if used externally).
05_Expansions/08_Word-splitting-and-IFS.md	5	NEEDS_INPUT	NEUTRAL	SC2034	warning	7	144	0	procs2 appears unused. Verify use (or export if used externally).
05_Expansions/09_Pathname-expansion-globbing.md	3	RUNNABLE	NEUTRAL	SC2034	warning	3	112	0	files appears unused. Verify use (or export if used externally).
05_Expansions/10_Quote-removal.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	18	0	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/10_Quote-removal.md	2	ANTIPATTERN	WRONG	SC1128	error	2	61	1	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/11_Glob-options.md	1	ANTIPATTERN	WRONG	SC2034	warning	10	47	1	inputs appears unused. Verify use (or export if used externally).
05_Expansions/11_Glob-options.md	4	RUNNABLE	NEUTRAL	SC2050	warning	3	113	0	This expression is constant. Did you forget the $ on a variable?
05_Expansions/11_Glob-options.md	4	RUNNABLE	NEUTRAL	SC2194	warning	5	115	0	This word is constant. Did you forget the $ on a variable?
05_Expansions/12_Extended-globs-extglob.md	3	RUNNABLE	NEUTRAL	SC2034	warning	3	80	0	images appears unused. Verify use (or export if used externally).
05_Expansions/12_Extended-globs-extglob.md	3	RUNNABLE	NEUTRAL	SC2034	warning	4	81	0	not_thumbs appears unused. Verify use (or export if used externally).
05_Expansions/13_Locale-and-pattern-matching.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	32	0	The shebang must be on the first line. Delete blanks and move comments.
05_Expansions/13_Locale-and-pattern-matching.md	3	RUNNABLE	NEUTRAL	SC1128	error	2	79	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	40	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	72	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/01_The-fd-table-from-Bashs-perspective.md	3	RUNNABLE	NEUTRAL	SC1128	error	2	98	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/02_Input-redirection.md	1	NEEDS_INPUT	NEUTRAL	SC1128	error	2	31	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/02_Input-redirection.md	2	NEEDS_INPUT	NEUTRAL	SC1128	error	2	70	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/03_Output-redirection.md	1	ANTIPATTERN	WRONG	SC1128	error	2	33	1	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/04_Stderr-redirection-and-merging.md	1	RUNNABLE	MIXED	SC1128	error	2	33	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/04_Stderr-redirection-and-merging.md	1	RUNNABLE	MIXED	SC2069	warning	12	43	0	To redirect stdout+stderr, 2>&1 must be last (or use '{ cmd > file; } 2>&1' to clarify).
06_Redirection-and-Pipelines/05_Reading-and-writing.md	1	NEEDS_INPUT	NEUTRAL	SC1128	error	2	37	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/06_Duplicating-fds.md	1	RUNNABLE	NEUTRAL	SC1128	error	3	47	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/07_Moving-and-closing-fds.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	34	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/07_Moving-and-closing-fds.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	64	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/08_Here-documents.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	30	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/08_Here-documents.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	60	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/08_Here-documents.md	3	RUNNABLE	NEUTRAL	SC2261	error	4	92	0	Multiple redirections compete for stdin. Use cat, tee, or pass filenames instead.
06_Redirection-and-Pipelines/08_Here-documents.md	3	RUNNABLE	NEUTRAL	SC2259	error	4	92	0	This redirection overrides piped input. To use both, merge or pass filenames.
06_Redirection-and-Pipelines/08_Here-documents.md	3	RUNNABLE	NEUTRAL	SC2261	error	4	92	0	Multiple redirections compete for stdin. Use cat, tee, or pass filenames instead.
06_Redirection-and-Pipelines/09_Here-strings.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	30	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/10_Process-substitution-as-redirection.md	1	RUNNABLE	NEUTRAL	SC1128	error	2	32	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/10_Process-substitution-as-redirection.md	2	RUNNABLE	NEUTRAL	SC1128	error	2	53	0	The shebang must be on the first line. Delete blanks and move comments.
06_Redirection-and-Pipelines/11_Order-of-evaluation.md	1	RUNNABLE	MIXED	SC1128	error	2	30	0	The shebang must be on the first line. Delete blanks and move comments.
