path	disposition	target_lines	required_examples	priority	notes
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/01_Processes-fork-exec-wait.md	KEEP	180	2	P3	dense topic deserves syscall-table plus zombie/orphan demo; needs concrete fork+exec example
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/02_The-file-descriptor-model.md	KEEP	180	2	P3	fd-table diagram and lsof inspection example required; xref to Part VI redirection
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/03_Files-directories-and-special-files.md	KEEP	90	1	P3	needs file-type stat snippet; otherwise reasonable cheatsheet bullets
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/04_Streams-and-the-standard-descriptors.md	KEEP	90	1	P3	needs isatty test snippet and a buffering-vs-pipe demo
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/05_The-shell-environment.md	KEEP	150	2	P3	core Bash concept treated as bullet list; needs export-vs-shell-var example and env propagation demo
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/06_Users-groups-permissions.md	KEEP	110	1	P3	add ruid-vs-euid table and one chmod/setcap example
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/07_Exit-status-and-process-termination.md	KEEP	140	2	P3	needs 128+signum example and BCS exit-code table inline; xref to BCS Appendix L will not resolve in RAG
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/08_Signals-overview.md	KEEP	100	1	P3	cheatsheet bullets ok; add signal-table mini-block; deep treatment correctly deferred to Part XII
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/09_The-controlling-terminal-and-TTY-layer.md	KEEP	150	1	P3	needs line-discipline ascii diagram and stty/tty inspection example
docs/BCS-Bash-Ref/01_The-Unix-Model-from-Bash/index.md	KEEP	24	0	P3	index page complete with chapter links and orientation prose
docs/BCS-Bash-Ref/02_Bash-as-a-Program/01_Genealogy-and-the-shell-family.md	KEEP	90	0	P3	historical bullets sufficient; tighten dates and add cross-link to §23.6 macOS
docs/BCS-Bash-Ref/02_Bash-as-a-Program/02_Bash-version-landscape.md	KEEP	100	1	P3	version-feature bullets dense and accurate; add a BASH_VERSINFO inspection snippet
docs/BCS-Bash-Ref/02_Bash-as-a-Program/03_Build-configuration-and-feature-detection.md	KEEP	110	2	P3	needs runtime feature-detect snippets for extglob/globstar/loadable builtins
docs/BCS-Bash-Ref/02_Bash-as-a-Program/04_Invocation-modes.md	KEEP	160	2	P3	four-quadrant matrix essential; needs a literal table plus interactive vs login detection examples
docs/BCS-Bash-Ref/02_Bash-as-a-Program/05_Startup-file-chains.md	KEEP	180	2	P3	canonical map but no diagram; needs a flowchart of files-by-mode and the .bashrc-from-bash_profile idiom
